_id	Key_name	Key_type	count
1	bool	bool	10000
2	dyn1	int	9500
3	dyn1	text	500
4	dyn2	bool	3334
5	dyn2	int	3333
6	dyn2	text	3333
7	nested_arr	array	10000
8	nested_obj	json	10000
9	num	int	10000
10	sparse_000	text	100
11	sparse_001	text	100
12	sparse_002	text	100
13	sparse_003	text	100
14	sparse_004	text	100
15	sparse_005	text	100
16	sparse_006	text	100
17	sparse_007	text	100
18	sparse_008	text	100
19	sparse_009	text	100
20	sparse_010	text	100
21	sparse_011	text	100
22	sparse_012	text	100
23	sparse_013	text	100
24	sparse_014	text	100
25	sparse_015	text	100
26	sparse_016	text	100
27	sparse_017	text	100
28	sparse_018	text	100
29	sparse_019	text	100
30	sparse_020	text	100
31	sparse_021	text	100
32	sparse_022	text	100
33	sparse_023	text	100
34	sparse_024	text	100
35	sparse_025	text	100
36	sparse_026	text	100
37	sparse_027	text	100
38	sparse_028	text	100
39	sparse_029	text	100
40	sparse_030	text	100
41	sparse_031	text	100
42	sparse_032	text	100
43	sparse_033	text	100
44	sparse_034	text	100
45	sparse_035	text	100
46	sparse_036	text	100
47	sparse_037	text	100
48	sparse_038	text	100
49	sparse_039	text	100
50	sparse_040	text	100
51	sparse_041	text	100
52	sparse_042	text	100
53	sparse_043	text	100
54	sparse_044	text	100
55	sparse_045	text	100
56	sparse_046	text	100
57	sparse_047	text	100
58	sparse_048	text	100
59	sparse_049	text	100
60	sparse_050	text	100
61	sparse_051	text	100
62	sparse_052	text	100
63	sparse_053	text	100
64	sparse_054	text	100
65	sparse_055	text	100
66	sparse_056	text	100
67	sparse_057	text	100
68	sparse_058	text	100
69	sparse_059	text	100
70	sparse_060	text	100
71	sparse_061	text	100
72	sparse_062	text	100
73	sparse_063	text	100
74	sparse_064	text	100
75	sparse_065	text	100
76	sparse_066	text	100
77	sparse_067	text	100
78	sparse_068	text	100
79	sparse_069	text	100
80	sparse_070	text	100
81	sparse_071	text	100
82	sparse_072	text	100
83	sparse_073	text	100
84	sparse_074	text	100
85	sparse_075	text	100
86	sparse_076	text	100
87	sparse_077	text	100
88	sparse_078	text	100
89	sparse_079	text	100
90	sparse_080	text	100
91	sparse_081	text	100
92	sparse_082	text	100
93	sparse_083	text	100
94	sparse_084	text	100
95	sparse_085	text	100
96	sparse_086	text	100
97	sparse_087	text	100
98	sparse_088	text	100
99	sparse_089	text	100
100	sparse_090	text	100
101	sparse_091	text	100
102	sparse_092	text	100
103	sparse_093	text	100
104	sparse_094	text	100
105	sparse_095	text	100
106	sparse_096	text	100
107	sparse_097	text	100
108	sparse_098	text	100
109	sparse_099	text	100
110	sparse_100	text	100
111	sparse_101	text	100
112	sparse_102	text	100
113	sparse_103	text	100
114	sparse_104	text	100
115	sparse_105	text	100
116	sparse_106	text	100
117	sparse_107	text	100
118	sparse_108	text	100
119	sparse_109	text	100
120	sparse_110	text	100
121	sparse_111	text	100
122	sparse_112	text	100
123	sparse_113	text	100
124	sparse_114	text	100
125	sparse_115	text	100
126	sparse_116	text	100
127	sparse_117	text	100
128	sparse_118	text	100
129	sparse_119	text	100
130	sparse_120	text	100
131	sparse_121	text	100
132	sparse_122	text	100
133	sparse_123	text	100
134	sparse_124	text	100
135	sparse_125	text	100
136	sparse_126	text	100
137	sparse_127	text	100
138	sparse_128	text	100
139	sparse_129	text	100
140	sparse_130	text	100
141	sparse_131	text	100
142	sparse_132	text	100
143	sparse_133	text	100
144	sparse_134	text	100
145	sparse_135	text	100
146	sparse_136	text	100
147	sparse_137	text	100
148	sparse_138	text	100
149	sparse_139	text	100
150	sparse_140	text	100
151	sparse_141	text	100
152	sparse_142	text	100
153	sparse_143	text	100
154	sparse_144	text	100
155	sparse_145	text	100
156	sparse_146	text	100
157	sparse_147	text	100
158	sparse_148	text	100
159	sparse_149	text	100
160	sparse_150	text	100
161	sparse_151	text	100
162	sparse_152	text	100
163	sparse_153	text	100
164	sparse_154	text	100
165	sparse_155	text	100
166	sparse_156	text	100
167	sparse_157	text	100
168	sparse_158	text	100
169	sparse_159	text	100
170	sparse_160	text	100
171	sparse_161	text	100
172	sparse_162	text	100
173	sparse_163	text	100
174	sparse_164	text	100
175	sparse_165	text	100
176	sparse_166	text	100
177	sparse_167	text	100
178	sparse_168	text	100
179	sparse_169	text	100
180	sparse_170	text	100
181	sparse_171	text	100
182	sparse_172	text	100
183	sparse_173	text	100
184	sparse_174	text	100
185	sparse_175	text	100
186	sparse_176	text	100
187	sparse_177	text	100
188	sparse_178	text	100
189	sparse_179	text	100
190	sparse_180	text	100
191	sparse_181	text	100
